city,company,country,location,srcname,job_title,zip
Fort Worth,Rotoplas USA,US,"Fort Worth, TX 76134",Indeed,Data Scientist,
Austin,SubjectWell,US,"Austin, TX",SubjectWell,Data Scientist,
Dallas,GradTests (gradtests.com),US,"Dallas, TX",Indeed,Data Scientist,
Dallas,CalypsoWay,US,"Dallas, TX",Indeed,Data Scientist - Immediate Interview,
Allen,Cytracom,US,"Allen, TX 75013",Indeed,Data Scientist,75013
San Antonio,Horizon Corp,US,"San Antonio, TX 78224",Indeed,Data Scientist,
Irving,TXU Retail Services Company,US,"Irving, TX",Vistra Energy,Associate Data Scientist,
Dallas,UT Southwestern Medical Center,US,"Dallas, TX 75390",Indeed,Data Scientist,
Austin,ARDOR IT SOLUTIONS,US,"Austin, TX",Indeed,Senior Data Scientist,
Austin,Apple,US,"Austin, TX",Apple,Data Scientist - Strategic Data Solutions,
Dallas,BrightPoint Solutions,US,"Dallas, TX 75201",Indeed,Data Scientist,75201
Dallas-Fort Worth,Michaels,US,"Dallas-Fort Worth, TX",Indeed,Data Science Analyst,
Plano,Kairos Technologies,US,"Plano, TX",Indeed,Data Engineer\/Data Scientist with Healthcare Claims Experience,
Houston,Waste Management,US,"Houston, TX",Waste Management,Senior Data Scientist Remote,
Austin,SIERA.AI,US,"Austin, TX",Indeed,"Senior Data Scientist 8+ Yrs Experience - (Remote\/WFH, India)",
